City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
247,Kurikka,FI,62.6167,22.4167,87.22,48,100,6.8,overcast clouds
248,Turbat,PK,26.0023,63.044,85.42,71,92,12.39,overcast clouds
249,Touros,BR,-5.1989,-35.4608,82.58,63,79,14.23,broken clouds
250,Knyaginino,RU,55.8228,45.0349,60.87,89,89,12.03,overcast clouds
251,Deep River,CA,46.1001,-77.4995,76.75,82,57,11.59,broken clouds
252,Khatanga,RU,71.9667,102.5,52.99,66,100,7.27,overcast clouds
253,Madison,US,34.7334,-86.5667,87.24,71,75,8.05,broken clouds
254,Luderitz,NA,-26.6481,15.1594,64.72,55,0,12.48,clear sky
255,Salinopolis,BR,-0.6136,-47.3561,86.2,60,13,6.78,few clouds
256,Port Lincoln,AU,-34.7333,135.8667,54.03,71,100,13.6,overcast clouds
257,Lompoc,US,34.6391,-120.4579,71.92,88,100,5.99,overcast clouds
258,Columbus,US,39.9612,-82.9988,86.11,67,20,9.22,few clouds
259,Mahibadhoo,MV,3.7833,72.9667,82.98,73,100,14.18,light rain
260,Cidreira,BR,-30.1811,-50.2056,71.76,72,100,4.97,overcast clouds
261,Valley City,US,46.9233,-98.0032,75.72,53,0,12.66,clear sky
262,Kavieng,PG,-2.5744,150.7967,80.94,79,100,9.95,light rain
263,Leh,IN,34.1667,77.5833,71.47,10,88,5.93,overcast clouds
264,Oussouye,SN,12.485,-16.5469,91.58,77,98,5.95,moderate rain
265,Saldanha,ZA,-33.0117,17.9442,60.85,71,38,10.31,scattered clouds
266,Harper,LR,4.375,-7.7169,77.76,66,65,8.88,broken clouds
267,Krasnoselkup,RU,65.7,82.4667,52.18,80,69,3.4,broken clouds
268,Bardiyah,LY,31.7561,25.0865,80.29,53,0,15.9,clear sky
269,Tuatapere,NZ,-46.1333,167.6833,43.63,88,98,2.53,overcast clouds
270,Beloomut,RU,54.9448,39.3394,61.03,90,100,11.36,light rain
271,Elat,IL,29.5581,34.9482,102.04,35,0,14.97,clear sky
272,Longyearbyen,SJ,78.2186,15.6401,51.64,82,75,8.05,broken clouds
273,Fortuna,US,40.5982,-124.1573,56.35,91,87,5.23,overcast clouds
274,Jitia,RO,45.5833,26.7167,82.17,29,50,6.73,scattered clouds
275,Kahului,US,20.8947,-156.47,73.42,78,100,13.8,overcast clouds
276,Beidao,CN,34.5686,105.8933,61.77,80,100,7.18,overcast clouds
277,Manta,EC,-0.95,-80.7333,73.18,78,75,11.5,broken clouds
278,Yemelyanovo,RU,56.1681,92.6767,63.41,82,0,0.0,clear sky
279,Faanui,PF,-16.4833,-151.75,76.71,75,17,12.8,few clouds
280,Yaan,NG,7.3833,8.5667,78.37,74,88,7.63,overcast clouds
281,Yar-Sale,RU,66.8333,70.8333,47.89,73,100,8.03,overcast clouds
282,Divo,CI,5.8397,-5.36,78.3,67,99,5.1,overcast clouds
283,Kununurra,AU,-15.7667,128.7333,69.58,29,8,5.91,clear sky
284,Laplace,US,30.0666,-90.4801,91.98,71,40,5.01,scattered clouds
285,Porto Novo,BJ,6.4965,2.6036,82.22,67,78,11.86,broken clouds
286,San Vicente,AR,-26.6167,-54.1333,77.25,50,49,6.96,scattered clouds
287,Praia,CV,14.9215,-23.5087,84.74,65,75,11.5,broken clouds
288,Teya,RU,60.3778,92.6267,57.9,81,76,2.64,broken clouds
289,Mackenzie,CA,55.2999,-123.1698,62.82,48,0,4.61,clear sky
290,Katsuura,JP,35.1333,140.3,77.77,94,100,13.22,overcast clouds
291,Coolum Beach,AU,-26.5333,153.1,62.11,86,100,17.05,overcast clouds
292,Gonen,TR,40.1049,27.654,89.02,10,0,14.23,clear sky
293,Marhaura,IN,25.9667,84.8667,82.33,79,100,9.82,moderate rain
294,Cabo San Lucas,MX,22.8909,-109.9124,94.6,45,0,14.97,clear sky
295,Upernavik,GL,72.7868,-56.1549,46.45,85,100,4.92,overcast clouds
296,Fertorakos,HU,47.7202,16.6504,100.81,22,36,4.21,scattered clouds
297,Avera,US,33.194,-82.5271,83.71,67,100,10.63,overcast clouds
298,Tonantins,BR,-2.8731,-67.8022,78.35,92,77,2.19,broken clouds
299,Tucuman,AR,-26.8241,-65.2226,64.4,52,80,10.36,broken clouds
300,Qandala,SO,11.472,49.8728,88.11,54,43,4.47,scattered clouds
301,Saskylakh,RU,71.9167,114.0833,49.64,70,98,12.86,overcast clouds
302,Bucerias,MX,20.75,-105.3333,88.99,74,75,4.61,broken clouds
303,Gamba,GA,-2.65,10.0,75.18,75,29,10.11,scattered clouds
304,Trairi,BR,-3.2778,-39.2689,82.92,65,98,9.62,overcast clouds
305,Asau,RO,46.4333,26.4,83.32,29,0,8.32,clear sky
306,Manokwari,ID,-0.8667,134.0833,78.35,82,68,3.74,broken clouds
307,Fontanka,UA,46.5626,30.8607,81.88,35,0,8.66,clear sky
308,Yerbogachen,RU,61.2767,108.0108,58.35,77,100,4.05,overcast clouds
309,Khani,GE,41.9563,42.9566,58.57,97,100,0.54,overcast clouds
310,Kenora,CA,49.8167,-94.4337,70.77,56,40,12.66,scattered clouds
